
### SETTING ##########################################

row_id,USERID,TIMESTAMP,gender,currentRoutine,DOB,name,length,mass,dbversion,vibration,alarm,timer,sets,targetrep,age,zonedifference,location,use_location,screenon,auto_lock,lastlogs,preloadreps,exp_level,fit_goal,audio_reminder,audio_exercise_tips,audio_personal_tips
768503,541724,"2026-03-16 17:26:15",M,3,1989-01-01,," cm"," kg",,,,90,3,8,23,1,,1,1,1,0,0,2,4,0,0,0


######################################################

### PROFILE ##########################################

row_id,USERID,TIMESTAMP,_id,mydate,weight,fatpercent,chest,arms,waist,calves,height,hips,thighs,shoulders,neck,forearms,logTime
1842095,541724,"2025-09-30 18:57:13",1,2020-08-02,0,0,0,0,0,0,436.9,0,0,0,0,0,1596319200
1842096,541724,"2025-09-30 18:57:13",2,2020-08-02,98,0,0,0,0,0,193,0,0,0,0,0,1596319200
1899559,541724,"2025-09-30 18:57:13",3,2012-08-12,86,0,0,0,0,0,193,0,0,0,0,0,1344722400
1925369,541724,"2025-09-30 18:57:13",4,2012-08-17,86,0,0,0,0,0,193,0,0,0,0,0,1345154400
2179493,541724,"2025-09-30 18:57:13",5,2012-09-22,85.5,0,0,0,0,0,193,0,0,0,0,0,1348264800
2420462,541724,"2025-09-30 18:57:13",6,2012-10-21,84.8,0,0,0,0,0,193,0,0,0,0,0,1350770400
2426804,541724,"2025-09-30 18:57:13",7,2012-10-24,82.9,0,0,0,0,0,193,0,0,0,0,0,1351029600
2619153,541724,"2025-09-30 18:57:13",8,2012-11-14,81.2,0,0,0,0,0,193,0,0,0,0,0,1352847600
2758403,541724,"2025-09-30 18:57:13",9,2012-12-08,83,0,0,0,0,0,193,0,0,0,0,0,1354921200
4458125,541724,"2025-09-30 18:57:13",10,2013-05-09,83,0,0,0,0,0,193,0,0,0,0,0,1368050400
5447409,541724,"2025-09-30 18:57:13",11,2013-08-02,84,0,0,0,0,0,193,0,0,0,0,0,1375394400
5532006,541724,"2025-09-30 18:57:13",12,2013-08-09,84,0,99,34,89,38,193,88,55,120,35,29,1375999200
5736000,541724,"2025-09-30 18:57:13",13,2013-08-26,84,0,99,34,88,38,193,88,56,120,35,29,1377468000
6341799,541724,"2025-09-30 18:57:13",14,2013-10-02,81.7,0,99,34,88,38,193,88,56,120,35,29,1380664800
7220958,541724,"2025-09-30 18:57:13",15,2013-12-26,80.2,0,99,35,88,38,193,88,56,120,35,29,1388012400
7294685,541724,"2025-09-30 18:57:13",16,2014-01-03,84,0,99,35,88,38,193,88,56,120,35,29,1388703600
8035541,541724,"2025-09-30 18:57:13",17,2014-03-05,84,0,99,36,82,36,193,88.5,56,122,36,29,1393974000
8880125,541724,"2025-09-30 18:57:13",18,2014-04-18,85.5,0,0,0,0,0,193,0,0,0,0,0,1397772000
9363962,541724,"2025-09-30 18:57:13",19,2014-05-22,0,0,0,35.5,0,0,193,0,0,0,0,0,1400709600
9676563,541724,"2025-09-30 18:57:13",20,2014-06-14,87,0,0,0,0,0,193,0,0,0,0,0,1402696800
10533791,541724,"2025-09-30 18:57:13",21,2014-08-01,85,0,0,0,0,0,193,0,0,0,0,0,1406844000
10608784,541724,"2025-09-30 18:57:13",22,2014-08-06,85,0,0,0,0,0,193,0,0,0,0,0,1407276000
14357346,541724,"2025-09-30 18:57:13",23,2015-04-06,88.4,0,0,0,0,0,193,0,0,0,0,0,1428271200
15910145,541724,"2025-09-30 18:57:13",24,2015-07-15,90,0,0,0,0,0,193,0,0,0,0,0,1436911200
18607683,541724,"2025-09-30 18:57:13",25,2016-01-04,95,0,0,0,0,0,193,0,0,0,0,0,1451862000
21790250,541724,"2025-09-30 18:57:13",26,2016-07-07,93,0,99,35.5,82,36,193,88.5,56,122,36,29,1467842400
130451742,541724,"2025-09-30 18:57:13",27,2022-12-04,92,0,99,35.5,82,36,193,88.5,56,122,36,29,1670108400
252362841,541724,"2025-10-28 20:06:48",28,2025-10-27,89.5001,0,99,35.5,82,36,193,88.5,56,122,36,29,1761585526
252362842,541724,"2025-10-28 20:06:48",29,2025-10-28,90.2,0,99,35.5,82,36,193,88.5,56,122,36,29,1761679711
252655419,541724,"2025-11-03 18:25:20",30,2025-11-02,89.3999,0,99,35.5,82,36,193,88.5,56,122,36,29,1762119156
252655420,541724,"2025-11-03 18:25:20",31,2025-11-03,88.9998,0,99,35.5,82,36,193,88.5,56,122,36,29,1762191040
252714850,541724,"2025-11-04 19:06:40",32,2025-11-04,88.9998,0,99,35.5,82,36,193,88.5,56,122,36,29,1762279179
252744740,541724,"2025-11-05 12:21:10",33,2025-11-05,88.25,0,99,35.5,82,36,193,88.5,56,122,36,29,1762345232
252821431,541724,"2025-11-06 22:06:50",34,2025-11-06,87.9,23,99,35.5,82,36,193,88.5,56,122,36,29,1762383600
253068057,541724,"2025-11-11 19:58:45",35,2025-11-09,88.7499,23,99,35.5,82,36,193,88.5,56,122,36,29,1762707018
253068058,541724,"2025-11-11 19:58:45",36,2025-11-11,86.9999,23,99,35.5,82,36,193,88.5,56,122,36,29,1762884724
